X Y Z
0.3383 0.5155 25.0000
0.6766 0.5155 25.0000
1.0148 0.5155 25.0000
1.3531 0.5155 25.0000
1.6914 0.5155 25.0000
2.0297 0.5155 25.0000
2.3680 0.5155 25.0000
2.7062 0.5155 25.0000
3.0445 0.5155 25.0000
3.3828 0.5155 25.0000
3.7211 0.5155 25.0000
4.0594 0.5155 25.0000
4.3977 0.5155 25.0000
4.7359 0.5155 25.0000
5.0742 0.5155 25.0000
5.4125 0.5155 25.0000
5.7508 0.5155 25.0000
6.0891 0.5155 25.0000
6.4273 0.5155 25.0000
6.7656 0.5155 25.0000
7.1039 0.5155 25.0000
7.4422 0.5155 25.0000
7.7805 0.5155 25.0000
8.1187 0.5155 25.0000
8.4570 0.5155 25.0000
8.7953 0.5155 25.0000
9.1336 0.5155 25.0000
9.4719 0.5155 25.0000
9.8102 0.5155 25.0000
10.1484 0.5155 25.0000
10.4867 0.5155 25.0000
10.8250 0.5155 25.0000
11.1633 0.5155 25.0000
11.5016 0.5155 25.0000
11.8398 0.5155 25.0000
12.1781 0.5155 25.0000
12.5164 0.5155 25.0000
12.8547 0.5155 25.0000
13.1930 0.5155 25.0000
13.5312 0.5155 25.0000
13.8695 0.5155 25.0000
14.2078 0.5155 25.0000
14.5461 0.5155 25.0000
14.8844 0.5155 25.0000
15.2227 0.5155 25.0000
15.5609 0.5155 25.0000
15.8992 0.5155 25.0000
16.2375 0.5155 25.0000
16.5758 0.5155 25.0000
16.9141 0.5155 25.0000
17.2523 0.5155 25.0000
17.5906 0.5155 25.0000
17.9289 0.5155 25.0000
18.2672 0.5155 25.0000
18.6055 0.5155 25.0000
18.9437 0.5155 25.0000
19.2820 0.5155 25.0000
19.6203 0.5155 25.0000
19.9586 0.5155 25.0000
20.2969 0.5155 25.0000
20.6352 0.5155 25.0000
20.9734 0.5155 25.0000
21.3117 0.5155 25.0000
21.6500 0.5155 25.0000
21.9883 0.5155 25.0000
22.3266 0.5155 25.0000
22.6648 0.5155 25.0000
23.0031 0.5155 25.0000
23.3414 0.5155 25.0000
23.6797 0.5155 25.0000
24.0180 0.5155 25.0000
24.3562 0.5155 25.0000
24.6945 0.5155 25.0000
25.0328 0.5155 25.0000
25.3711 0.5155 25.0000
25.7094 0.5155 25.0000
26.0477 0.5155 25.0000
26.3859 0.5155 25.0000
26.7242 0.5155 25.0000
27.0625 0.5155 25.0000
27.4008 0.5155 25.0000
27.7391 0.5155 25.0000
28.0773 0.5155 25.0000
28.4156 0.5155 25.0000
28.7539 0.5155 25.0000
29.0922 0.5155 25.0000
29.4305 0.5155 25.0000
29.7687 0.5155 25.0000
30.1070 0.5155 25.0000
30.4453 0.5155 25.0000
30.7836 0.5155 25.0000
31.1219 0.5155 25.0000
31.4602 0.5155 25.0000
31.7984 0.5155 25.0000
32.1367 0.5155 25.0000
32.4750 0.5155 25.0000
32.8133 0.5155 25.0000
33.1516 0.5155 25.0000
33.4898 0.5155 25.0000
33.8281 0.5155 25.0000
34.1664 0.5155 25.0000
34.5047 0.5155 25.0000
34.8430 0.5155 25.0000
35.1812 0.5155 25.0000
35.5195 0.5155 25.0000
35.8578 0.5155 25.0000
36.1961 0.5155 25.0000
36.5344 0.5155 25.0000
36.8727 0.5155 25.0000
37.2109 0.5155 25.0000
37.5492 0.5155 25.0000
37.8875 0.5155 25.0000
38.2258 0.5155 25.0000
38.5641 0.5155 25.0000
38.9023 0.5155 25.0000
39.2406 0.5155 25.0000
39.5789 0.5155 25.0000
39.9172 0.5155 25.0000
40.2555 0.5155 25.0000
40.5938 0.5155 25.0000
40.9320 0.5155 25.0000
41.2703 0.5155 25.0000
41.6086 0.5155 25.0000
41.9469 0.5155 25.0000
42.2852 0.5155 25.0000
42.6234 0.5155 25.0000
42.9617 0.5155 25.0000
43.3000 0.5155 25.0000
43.6383 0.5155 25.0000
43.9766 0.5155 25.0000
44.3148 0.5155 25.0000
44.6531 0.5155 25.0000
44.9914 0.5155 25.0000
45.3297 0.5155 25.0000
45.6680 0.5155 25.0000
46.0062 0.5155 25.0000
46.3445 0.5155 25.0000
46.6828 0.5155 25.0000
47.0211 0.5155 25.0000
47.3594 0.5155 25.0000
47.6977 0.5155 25.0000
48.0359 0.5155 25.0000
48.3742 0.5155 25.0000
48.7125 0.5155 25.0000
49.0508 0.5155 25.0000
49.3891 0.5155 25.0000
49.7273 0.5155 25.0000
50.0656 0.5155 25.0000
50.4039 0.5155 25.0000
50.7422 0.5155 25.0000
51.0805 0.5155 25.0000
51.4187 0.5155 25.0000
51.7570 0.5155 25.0000
52.0953 0.5155 25.0000
52.4336 0.5155 25.0000
52.7719 0.5155 25.0000
53.1102 0.5155 25.0000
53.4484 0.5155 25.0000
53.7867 0.5155 25.0000
54.1250 0.5155 25.0000
54.4633 0.5155 25.0000
54.8016 0.5155 25.0000
55.1398 0.5155 25.0000
55.4781 0.5155 25.0000
55.8164 0.5155 25.0000
56.1547 0.5155 25.0000
56.4930 0.5155 25.0000
56.8312 0.5155 25.0000
57.1695 0.5155 25.0000
57.5078 0.5155 25.0000
57.8461 0.5155 25.0000
58.1844 0.5155 25.0000
58.5227 0.5155 25.0000
58.8609 0.5155 25.0000
59.1992 0.5155 25.0000
59.5375 0.5155 25.0000
59.8758 0.5155 25.0000
60.2141 0.5155 25.0000
60.5523 0.5155 25.0000
60.8906 0.5155 25.0000
61.2289 0.5155 25.0000
61.5672 0.5155 25.0000
61.9055 0.5155 25.0000
62.2437 0.5155 25.0000
62.5820 0.5155 25.0000
62.9203 0.5155 25.0000
63.2586 0.5155 25.0000
63.5969 0.5155 25.0000
63.9352 0.5155 25.0000
64.2734 0.5155 25.0000
64.6117 0.5155 25.0000
64.9500 0.5155 25.0000
65.2883 0.5155 25.0000
65.6266 0.5155 25.0000
65.9648 0.5155 25.0000
66.3031 0.5155 25.0000
66.6414 0.5155 25.0000
66.9797 0.5155 25.0000
67.3180 0.5155 25.0000
67.6562 0.5155 25.0000
67.9945 0.5155 25.0000
68.3328 0.5155 25.0000
68.6711 0.5155 25.0000
69.0094 0.5155 25.0000
69.3477 0.5155 25.0000
69.6859 0.5155 25.0000
70.0242 0.5155 25.0000
70.3625 0.5155 25.0000
70.7008 0.5155 25.0000
71.0391 0.5155 25.0000
71.3773 0.5155 25.0000
71.7156 0.5155 25.0000
72.0539 0.5155 25.0000
72.3922 0.5155 25.0000
72.7305 0.5155 25.0000
73.0687 0.5155 25.0000
73.4070 0.5155 25.0000
73.7453 0.5155 25.0000
74.0836 0.5155 25.0000
74.4219 0.5155 25.0000
74.7602 0.5155 25.0000
75.0984 0.5155 25.0000
75.4367 0.5155 25.0000
75.7750 0.5155 25.0000
76.1133 0.5155 25.0000
76.4516 0.5155 25.0000
76.7898 0.5155 25.0000
77.1281 0.5155 25.0000
77.4664 0.5155 25.0000
77.8047 0.5155 25.0000
78.1430 0.5155 25.0000
78.4812 0.5155 25.0000
78.8195 0.5155 25.0000
79.1578 0.5155 25.0000
79.4961 0.5155 25.0000
79.8344 0.5155 25.0000
80.1727 0.5155 25.0000
80.5109 0.5155 25.0000
80.8492 0.5155 25.0000
81.1875 0.5155 25.0000
81.5258 0.5155 25.0000
81.8641 0.5155 25.0000
82.2023 0.5155 25.0000
82.5406 0.5155 25.0000
82.8789 0.5155 25.0000
83.2172 0.5155 25.0000
83.5555 0.5155 25.0000
83.8937 0.5155 25.0000
84.2320 0.5155 25.0000
84.5703 0.5155 25.0000
84.9086 0.5155 25.0000
85.2469 0.5155 25.0000
85.5852 0.5155 25.0000
85.9234 0.5155 25.0000
86.2617 0.5155 25.0000
86.6000 0.5155 25.0000
0.0000 1.0309 25.0000
0.3383 1.0309 25.0000
0.6766 1.0309 25.0000
1.0148 1.0309 25.0000
1.3531 1.0309 25.0000
1.6914 1.0309 25.0000
2.0297 1.0309 25.0000
2.3680 1.0309 25.0000
2.7062 1.0309 25.0000
3.0445 1.0309 25.0000
3.3828 1.0309 25.0000
3.7211 1.0309 25.0000
4.0594 1.0309 25.0000
4.3977 1.0309 25.0000
4.7359 1.0309 25.0000
5.0742 1.0309 25.0000
5.4125 1.0309 25.0000
5.7508 1.0309 25.0000
6.0891 1.0309 25.0000
6.4273 1.0309 25.0000
6.7656 1.0309 25.0000
7.1039 1.0309 25.0000
7.4422 1.0309 25.0000
7.7805 1.0309 25.0000
8.1187 1.0309 25.0000
8.4570 1.0309 25.0000
8.7953 1.0309 25.0000
9.1336 1.0309 25.0000
9.4719 1.0309 25.0000
9.8102 1.0309 25.0000
10.1484 1.0309 25.0000
10.4867 1.0309 25.0000
10.8250 1.0309 25.0000
11.1633 1.0309 25.0000
11.5016 1.0309 25.0000
11.8398 1.0309 25.0000
12.1781 1.0309 25.0000
12.5164 1.0309 25.0000
12.8547 1.0309 25.0000
13.1930 1.0309 25.0000
13.5312 1.0309 25.0000
13.8695 1.0309 25.0000
14.2078 1.0309 25.0000
14.5461 1.0309 25.0000
14.8844 1.0309 25.0000
15.2227 1.0309 25.0000
15.5609 1.0309 25.0000
15.8992 1.0309 25.0000
16.2375 1.0309 25.0000
16.5758 1.0309 25.0000
16.9141 1.0309 25.0000
17.2523 1.0309 25.0000
17.5906 1.0309 25.0000
17.9289 1.0309 25.0000
18.2672 1.0309 25.0000
18.6055 1.0309 25.0000
18.9437 1.0309 25.0000
19.2820 1.0309 25.0000
19.6203 1.0309 25.0000
19.9586 1.0309 25.0000
20.2969 1.0309 25.0000
20.6352 1.0309 25.0000
20.9734 1.0309 25.0000
21.3117 1.0309 25.0000
21.6500 1.0309 25.0000
21.9883 1.0309 25.0000
22.3266 1.0309 25.0000
22.6648 1.0309 25.0000
23.0031 1.0309 25.0000
23.3414 1.0309 25.0000
23.6797 1.0309 25.0000
24.0180 1.0309 25.0000
24.3562 1.0309 25.0000
24.6945 1.0309 25.0000
25.0328 1.0309 25.0000
25.3711 1.0309 25.0000
25.7094 1.0309 25.0000
26.0477 1.0309 25.0000
26.3859 1.0309 25.0000
26.7242 1.0309 25.0000
27.0625 1.0309 25.0000
27.4008 1.0309 25.0000
27.7391 1.0309 25.0000
28.0773 1.0309 25.0000
28.4156 1.0309 25.0000
28.7539 1.0309 25.0000
29.0922 1.0309 25.0000
29.4305 1.0309 25.0000
29.7687 1.0309 25.0000
30.1070 1.0309 25.0000
30.4453 1.0309 25.0000
30.7836 1.0309 25.0000
31.1219 1.0309 25.0000
31.4602 1.0309 25.0000
31.7984 1.0309 25.0000
32.1367 1.0309 25.0000
32.4750 1.0309 25.0000
32.8133 1.0309 25.0000
33.1516 1.0309 25.0000
33.4898 1.0309 25.0000
33.8281 1.0309 25.0000
34.1664 1.0309 25.0000
34.5047 1.0309 25.0000
34.8430 1.0309 25.0000
35.1812 1.0309 25.0000
35.5195 1.0309 25.0000
35.8578 1.0309 25.0000
36.1961 1.0309 25.0000
36.5344 1.0309 25.0000
36.8727 1.0309 25.0000
37.2109 1.0309 25.0000
37.5492 1.0309 25.0000
37.8875 1.0309 25.0000
38.2258 1.0309 25.0000
38.5641 1.0309 25.0000
38.9023 1.0309 25.0000
39.2406 1.0309 25.0000
39.5789 1.0309 25.0000
39.9172 1.0309 25.0000
40.2555 1.0309 25.0000
40.5938 1.0309 25.0000
40.9320 1.0309 25.0000
41.2703 1.0309 25.0000
41.6086 1.0309 25.0000
41.9469 1.0309 25.0000
42.2852 1.0309 25.0000
42.6234 1.0309 25.0000
42.9617 1.0309 25.0000
43.3000 1.0309 25.0000
43.6383 1.0309 25.0000
43.9766 1.0309 25.0000
44.3148 1.0309 25.0000
44.6531 1.0309 25.0000
44.9914 1.0309 25.0000
45.3297 1.0309 25.0000
45.6680 1.0309 25.0000
46.0062 1.0309 25.0000
46.3445 1.0309 25.0000
46.6828 1.0309 25.0000
47.0211 1.0309 25.0000
47.3594 1.0309 25.0000
47.6977 1.0309 25.0000
48.0359 1.0309 25.0000
48.3742 1.0309 25.0000
48.7125 1.0309 25.0000
49.0508 1.0309 25.0000
49.3891 1.0309 25.0000
49.7273 1.0309 25.0000
50.0656 1.0309 25.0000
50.4039 1.0309 25.0000
50.7422 1.0309 25.0000
51.0805 1.0309 25.0000
51.4187 1.0309 25.0000
51.7570 1.0309 25.0000
52.0953 1.0309 25.0000
52.4336 1.0309 25.0000
52.7719 1.0309 25.0000
53.1102 1.0309 25.0000
53.4484 1.0309 25.0000
53.7867 1.0309 25.0000
54.1250 1.0309 25.0000
54.4633 1.0309 25.0000
54.8016 1.0309 25.0000
55.1398 1.0309 25.0000
55.4781 1.0309 25.0000
55.8164 1.0309 25.0000
56.1547 1.0309 25.0000
56.4930 1.0309 25.0000
56.8312 1.0309 25.0000
57.1695 1.0309 25.0000
57.5078 1.0309 25.0000
57.8461 1.0309 25.0000
58.1844 1.0309 25.0000
58.5227 1.0309 25.0000
58.8609 1.0309 25.0000
59.1992 1.0309 25.0000
59.5375 1.0309 25.0000
59.8758 1.0309 25.0000
60.2141 1.0309 25.0000
60.5523 1.0309 25.0000
60.8906 1.0309 25.0000
61.2289 1.0309 25.0000
61.5672 1.0309 25.0000
61.9055 1.0309 25.0000
62.2437 1.0309 25.0000
62.5820 1.0309 25.0000
62.9203 1.0309 25.0000
63.2586 1.0309 25.0000
63.5969 1.0309 25.0000
63.9352 1.0309 25.0000
64.2734 1.0309 25.0000
64.6117 1.0309 25.0000
64.9500 1.0309 25.0000
65.2883 1.0309 25.0000
65.6266 1.0309 25.0000
65.9648 1.0309 25.0000
66.3031 1.0309 25.0000
66.6414 1.0309 25.0000
66.9797 1.0309 25.0000
67.3180 1.0309 25.0000
67.6562 1.0309 25.0000
67.9945 1.0309 25.0000
68.3328 1.0309 25.0000
68.6711 1.0309 25.0000
69.0094 1.0309 25.0000
69.3477 1.0309 25.0000
69.6859 1.0309 25.0000
70.0242 1.0309 25.0000
70.3625 1.0309 25.0000
70.7008 1.0309 25.0000
71.0391 1.0309 25.0000
71.3773 1.0309 25.0000
71.7156 1.0309 25.0000
72.0539 1.0309 25.0000
72.3922 1.0309 25.0000
72.7305 1.0309 25.0000
73.0687 1.0309 25.0000
73.4070 1.0309 25.0000
73.7453 1.0309 25.0000
74.0836 1.0309 25.0000
74.4219 1.0309 25.0000
74.7602 1.0309 25.0000
75.0984 1.0309 25.0000
75.4367 1.0309 25.0000
75.7750 1.0309 25.0000
76.1133 1.0309 25.0000
76.4516 1.0309 25.0000
76.7898 1.0309 25.0000
77.1281 1.0309 25.0000
77.4664 1.0309 25.0000
77.8047 1.0309 25.0000
78.1430 1.0309 25.0000
78.4812 1.0309 25.0000
78.8195 1.0309 25.0000
79.1578 1.0309 25.0000
79.4961 1.0309 25.0000
79.8344 1.0309 25.0000
80.1727 1.0309 25.0000
80.5109 1.0309 25.0000
80.8492 1.0309 25.0000
81.1875 1.0309 25.0000
81.5258 1.0309 25.0000
81.8641 1.0309 25.0000
82.2023 1.0309 25.0000
82.5406 1.0309 25.0000
82.8789 1.0309 25.0000
83.2172 1.0309 25.0000
83.5555 1.0309 25.0000
83.8937 1.0309 25.0000
84.2320 1.0309 25.0000
84.5703 1.0309 25.0000
84.9086 1.0309 25.0000
85.2469 1.0309 25.0000
85.5852 1.0309 25.0000
85.9234 1.0309 25.0000
86.2617 1.0309 25.0000
86.6000 1.0309 25.0000
0.0000 1.5464 25.0000
0.3383 1.5464 25.0000
0.6766 1.5464 25.0000
1.0148 1.5464 25.0000
1.3531 1.5464 25.0000
1.6914 1.5464 25.0000
2.0297 1.5464 25.0000
2.3680 1.5464 25.0000
2.7062 1.5464 25.0000
3.0445 1.5464 25.0000
3.3828 1.5464 25.0000
3.7211 1.5464 25.0000
4.0594 1.5464 25.0000
4.3977 1.5464 25.0000
4.7359 1.5464 25.0000
5.0742 1.5464 25.0000
5.4125 1.5464 25.0000
5.7508 1.5464 25.0000
6.0891 1.5464 25.0000
6.4273 1.5464 25.0000
6.7656 1.5464 25.0000
7.1039 1.5464 25.0000
7.4422 1.5464 25.0000
7.7805 1.5464 25.0000
8.1187 1.5464 25.0000
8.4570 1.5464 25.0000
8.7953 1.5464 25.0000
9.1336 1.5464 25.0000
9.4719 1.5464 25.0000
9.8102 1.5464 25.0000
10.1484 1.5464 25.0000
10.4867 1.5464 25.0000
10.8250 1.5464 25.0000
11.1633 1.5464 25.0000
11.5016 1.5464 25.0000
11.8398 1.5464 25.0000
12.1781 1.5464 25.0000
12.5164 1.5464 25.0000
12.8547 1.5464 25.0000
13.1930 1.5464 25.0000
13.5312 1.5464 25.0000
13.8695 1.5464 25.0000
14.2078 1.5464 25.0000
14.5461 1.5464 25.0000
14.8844 1.5464 25.0000
15.2227 1.5464 25.0000
15.5609 1.5464 25.0000
15.8992 1.5464 25.0000
16.2375 1.5464 25.0000
16.5758 1.5464 25.0000
16.9141 1.5464 25.0000
17.2523 1.5464 25.0000
17.5906 1.5464 25.0000
17.9289 1.5464 25.0000
18.2672 1.5464 25.0000
18.6055 1.5464 25.0000
18.9437 1.5464 25.0000
19.2820 1.5464 25.0000
19.6203 1.5464 25.0000
19.9586 1.5464 25.0000
20.2969 1.5464 25.0000
20.6352 1.5464 25.0000
20.9734 1.5464 25.0000
21.3117 1.5464 25.0000
21.6500 1.5464 25.0000
21.9883 1.5464 25.0000
22.3266 1.5464 25.0000
22.6648 1.5464 25.0000
23.0031 1.5464 25.0000
23.3414 1.5464 25.0000
23.6797 1.5464 25.0000
24.0180 1.5464 25.0000
24.3562 1.5464 25.0000
24.6945 1.5464 25.0000
25.0328 1.5464 25.0000
25.3711 1.5464 25.0000
25.7094 1.5464 25.0000
26.0477 1.5464 25.0000
26.3859 1.5464 25.0000
26.7242 1.5464 25.0000
27.0625 1.5464 25.0000
27.4008 1.5464 25.0000
27.7391 1.5464 25.0000
28.0773 1.5464 25.0000
28.4156 1.5464 25.0000
28.7539 1.5464 25.0000
29.0922 1.5464 25.0000
29.4305 1.5464 25.0000
29.7687 1.5464 25.0000
30.1070 1.5464 25.0000
30.4453 1.5464 25.0000
30.7836 1.5464 25.0000
31.1219 1.5464 25.0000
31.4602 1.5464 25.0000
31.7984 1.5464 25.0000
32.1367 1.5464 25.0000
32.4750 1.5464 25.0000
32.8133 1.5464 25.0000
33.1516 1.5464 25.0000
33.4898 1.5464 25.0000
33.8281 1.5464 25.0000
34.1664 1.5464 25.0000
34.5047 1.5464 25.0000
34.8430 1.5464 25.0000
35.1812 1.5464 25.0000
35.5195 1.5464 25.0000
35.8578 1.5464 25.0000
36.1961 1.5464 25.0000
36.5344 1.5464 25.0000
36.8727 1.5464 25.0000
37.2109 1.5464 25.0000
37.5492 1.5464 25.0000
37.8875 1.5464 25.0000
38.2258 1.5464 25.0000
38.5641 1.5464 25.0000
38.9023 1.5464 25.0000
39.2406 1.5464 25.0000
39.5789 1.5464 25.0000
39.9172 1.5464 25.0000
40.2555 1.5464 25.0000
40.5938 1.5464 25.0000
40.9320 1.5464 25.0000
41.2703 1.5464 25.0000
41.6086 1.5464 25.0000
41.9469 1.5464 25.0000
42.2852 1.5464 25.0000
42.6234 1.5464 25.0000
42.9617 1.5464 25.0000
43.3000 1.5464 25.0000
43.6383 1.5464 25.0000
43.9766 1.5464 25.0000
44.3148 1.5464 25.0000
44.6531 1.5464 25.0000
44.9914 1.5464 25.0000
45.3297 1.5464 25.0000
45.6680 1.5464 25.0000
46.0062 1.5464 25.0000
46.3445 1.5464 25.0000
46.6828 1.5464 25.0000
47.0211 1.5464 25.0000
47.3594 1.5464 25.0000
47.6977 1.5464 25.0000
48.0359 1.5464 25.0000
48.3742 1.5464 25.0000
48.7125 1.5464 25.0000
49.0508 1.5464 25.0000
49.3891 1.5464 25.0000
49.7273 1.5464 25.0000
50.0656 1.5464 25.0000
50.4039 1.5464 25.0000
50.7422 1.5464 25.0000
51.0805 1.5464 25.0000
51.4187 1.5464 25.0000
51.7570 1.5464 25.0000
52.0953 1.5464 25.0000
52.4336 1.5464 25.0000
52.7719 1.5464 25.0000
53.1102 1.5464 25.0000
53.4484 1.5464 25.0000
53.7867 1.5464 25.0000
54.1250 1.5464 25.0000
